postalCode,lat,lon,locality,label,poi_id,types
22130,48.471779,-2.146882,Corseul,Démonstration de Dressage -JEP,FMABRE022V5450X1,["EntertainmentAndEvent"]
22490,48.5521,-2.06191,Tréméreuc,Compétition de Golf - Competition SUPER U,FMABRE035V52AHW4,["EntertainmentAndEvent"]
22490,48.5521,-2.06191,Tréméreuc,Compétition de Golf - Pro & des jardiniers,FMABRE035V52AHW0,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite spéciale Grandes marées,FMABRE035V52BBFJ,["EntertainmentAndEvent" "Visit"]
22490,48.52627,-1.98505,Plouër-sur-Rance,Festival Douce Rance,FMABRE022V53N86X,["EntertainmentAndEvent"]
22490,48.527538,-2.00327,Plouër-sur-Rance,Descente de la Rance en canoë-kayak de Dinan à Plouër-sur-Rance,FMABRE022V544T1P,["EntertainmentAndEvent"]
22100,48.43458,-2.11859,Trélivan,Concert : CHURCHFITTERS,FMABRE022V543D1W,["EntertainmentAndEvent"]
35800,48.6361076,-2.0694457,Dinard,Quintet à cordes & guitare,FMABRE035V52C18P,["EntertainmentAndEvent"]
35730,48.58036,-2.06355,Pleurtuit,Exposition - De la réalité au rêve,FMABRE035V52B3XG,["EntertainmentAndEvent"]
22490,48.53152,-2.01265,Plouër-sur-Rance,Vide-Grenier,FMABRE022V52FTYJ,["EntertainmentAndEvent"]
35800,48.6325489,-2.0538046,Dinard,Exposition Un Eté de Henri Rivière - Galerie Saphir,FMABRE035V52C9DS,["EntertainmentAndEvent"]
22770,48.606175,-2.1508368,Lancieux,Visite guidée : Lancieux & ses légendes,FMABRE035V529BWZ,["EntertainmentAndEvent" "Visit"]
35800,48.623797,-2.0505941,Dinard,Exposition - Port Breton a 100 ans 1923-2023,FMABRE035V52AK4O,["EntertainmentAndEvent"]
35800,48.62715,-2.14227,Saint-Briac-sur-Mer,Jean-Yves Le Denmat - Compagnie du Chorâtre,ASCBRE035V528X5P,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WM7,["EntertainmentAndEvent" "Visit"]
