insee_origine,insee_destination
01001,01412
01001,01093
01001,01028
01001,01146
01001,01351
01001,01188
01002,01056
01002,01277
01002,01384
01002,01007
01002,01363
01002,01199
01004,01384
01004,01421
01004,01041
01004,01345
01004,01089
01004,01007
01004,01149
01005,01382
01005,01207
01005,01261
01005,01362
01005,01318
01005,01398
01005,01446
01006,01358
01006,01110
01006,01117
01006,01216
01006,01233
01006,01190
01007,01363
01007,01002
01007,01384
01007,01149
01007,01004
01007,01089
01007,01314
01007,01430
01007,01304
01008,01041
01008,01431
01008,01202
01008,01213
01008,01345
01009,01098
01009,01098
01009,01034
01009,01015
01009,01015
01009,01358
01009,01116
01009,01316
01010,01407
01010,74269
01010,73180
01010,73286
01010,01138
01010,01453
01010,01453
01010,01218
01010,01118
01011,01087
01011,01269
01011,01265
01011,01237
01011,01181
01011,01031
01011,01283
01012,01191
01012,01119
01012,01080
01012,01080
01012,01185
01012,01185
01012,01155
01012,01279
01012,01277
01012,01121
01013,01416
01013,01066
01013,01280
01013,01111
01013,01384
01013,01017
01014,39579
01014,01152
01014,01283
01014,01148
01015,01009
01015,01034
01015,01061
01015,01294
01015,01310
01015,01340
01015,01110
01015,01358
01015,01009
01015,01034
01015,01061
01015,01294
01015,01310
01015,01338
01015,01338
01015,01117
01015,01110
01015,01358
01016,01402
01016,01437
01016,01094
01016,01337
01016,71550
01016,71195
01017,01155
01017,01416
01017,01013
01017,01384
01017,01279
01019,01185
01019,01417
01019,01452
01019,01329
01019,01066
01019,01311
01021,01446
01021,01398
01021,01318
01021,01423
01021,01250
01021,01166
01021,01075
01022,01415
01022,01073
01022,01372
01022,01036
01022,01036
01022,01442
01023,01057
01023,01284
01023,01231
01023,01439
01023,71448
01023,71513
01024,01130
01024,01232
01024,01451
01024,01301
01024,01375
01024,01130
01025,01050
01025,01236
01025,01387
01025,01346
01025,01355
01025,01343
01025,01365
01025,01332
01025,01026
01025,01320
01025,01159
01025,01231
01025,01102
01025,01102
01025,01144
01025,01346
01025,01355
01025,01343
01025,01365
01025,01026
01025,01332
01025,01320
01025,01159
01025,01231
01026,01025
01026,01025
01026,01332
01027,01032
01027,01378
01027,38557
01027,69280
01027,01276
01027,01142
01027,01062
01028,01001
01028,01093
01028,01319
01028,01389
01028,01083
01028,01428
01028,01351
01028,01146
01029,71143
01029,01147
01029,01296
01029,01124
01029,71558
01030,01157
01030,01166
01030,01194
01030,69264
01030,69013
01031,01283
01031,01011
01031,01181
01031,01171
01032,01054
01032,01290
01032,01361
01032,01378
01032,01027
01032,01062
01033,01205
01033,01109
01033,01209
01033,74109
01033,74235
01033,01044
01033,01448
01033,01091
01033,01114
01033,01109
01033,01209
01033,74109
01033,74235
01033,01044
01033,01448
01033,01187
01033,01176
01033,01204
01033,01204
01033,01357
01033,01257
01034,01098
01034,01227
01034,01227
01034,01286
01034,01286
01034,01454
01034,01061
01034,01015
01034,01015
01034,01009
01034,01098
01035,39068
01035,39413
01035,01081
01035,01174
01035,01152
01035,39579
01036,01079
01036,01442
01036,01022
01036,01372
01036,01452
01036,01417
01036,01185
01036,01414
01036,01187
01036,01409
01036,01079
01036,01453
01036,01453
01036,01097
01036,01415
01036,01022
01036,01372
01036,01452
01036,01417
01036,01185
01036,01122
01036,01185
01036,01330
01037,01280
01037,01219
01037,01400
01037,01255
01037,01403
01037,01444
01037,01411
01037,01111
01038,01445
01038,01350
01038,01232
01039,01138
01039,01073
01039,01415
01039,01097
01039,01453
01040,01364
01040,01236
01040,01050
01040,01352
01041,01004
01041,01421
01041,01431
01041,01008
01041,01345
01042,01136
01042,01167
01042,01123
01043,01049
01043,01418
01043,69282
01043,01376
01043,01424
01044,01033
01044,01033
01044,74235
01044,01189
01044,01187
01044,01187
01044,01176
01044,01448
01045,01443
01045,01434
01045,01198
01045,01260
01045,01262
01045,01120
01045,01371
01045,01207
01046,01291
01046,01457
01046,01368
01046,01334
01046,01203
01046,01365
01047,01099
01047,01390
01047,01361
01047,01088
01048,01447
01048,01184
01048,01245
01048,01324
01048,01321
01048,01317
01049,01142
01049,01276
01049,01418
01049,01043
01049,01424
01049,01262
01050,01352
01050,01040
01050,01236
01050,01144
01050,01025
01050,01102
01051,01125
01051,01240
01051,01410
01051,01214
01051,01404
01051,01184
01051,01106
01052,01085
01052,01443
01052,01207
01052,01382
01052,01389
01052,01393
01053,01195
01053,01369
01053,01254
01053,01289
01053,01344
01053,01451
01054,01290
01054,01032
01054,01062
01054,01156
01056,01068
01056,01121
01056,01277
01056,01002
01056,01199
01056,01242
01057,01175
01057,01102
01057,01284
01057,01023
01057,71513
01057,71494
01057,71383
01057,01323
01058,01310
01058,01193
01058,01268
01058,73070
01058,73236
01058,73236
01058,38012
01058,38022
01058,38022
01058,01338
01058,01338
01059,01118
01059,01218
01059,01079
01059,01409
01059,01187
01060,01274
01060,01292
01060,01187
01060,01080
01060,01080
01060,01119
01060,01441
01060,01101
01060,01373
01061,01454
01061,73028
01061,01294
01061,01015
01061,01015
01061,01034
01062,01156
01062,01054
01062,01032
01062,01027
01062,01142
01062,01297
01063,01170
01063,01265
01063,01307
01063,01373
01063,01267
01064,01400
01064,01233
01064,01216
01064,38139
01064,38139
01064,38227
01064,38054
01064,01255
01065,01344
01065,01385
01065,01264
01065,01259
01065,01301
01066,01185
01066,01311
01066,01019
01066,01329
01066,01100
01066,01280
01066,01013
01066,01416
01066,01186
01067,01293
01067,01228
01067,01200
01067,01331
01067,01077
01067,01214
01068,01200
01068,01441
01068,01191
01068,01121
01068,01056
01068,01242
01068,01303
01068,01331
01069,01254
01069,01422
01069,01374
01069,01425
01069,01211
01069,01289
01071,01180
01071,01397
01071,01435
01071,01399
01071,01153
01071,01173
01072,01317
01072,01321
01072,01254
01072,01369
01072,01195
01073,01415
01073,01039
01073,01138
01073,01162
01073,01456
01073,01234
01073,01098
01073,01098
01073,01141
01073,01372
01073,01022
01074,01090
01074,01449
01074,01092
01074,01129
01074,01434
01074,01299
01074,01381
01075,01165
01075,01165
01075,01446
01075,01021
01075,01166
01075,01157
01075,01243
01075,01225
01076,01185
01076,01185
01076,01416
01076,01155
01077,01214
01077,01067
01077,01331
01077,01303
01077,01404
01078,01308
01078,01288
01079,01409
01079,01059
01079,01218
01079,01453
01079,01453
01079,01442
01079,01036
01079,01036
01079,01414
01079,01221
01079,01187
01080,01060
01080,01292
01080,01187
01080,01330
01080,01185
01080,01185
01080,01012
01080,01119
01080,01060
01080,01292
01080,01187
01080,01330
01080,01185
01080,01185
01080,01012
01080,01191
01080,01206
01080,01282
01080,01441
01081,39413
01081,01104
01081,01257
01081,01357
01081,01174
01081,01035
01082,01215
01082,01413
01082,74055
01082,74029
01082,01118
01082,01409
01082,01187
01082,01215
01083,01428
01083,01028
01083,01389
01083,01165
01083,01165
01083,01258
01083,01295
01084,01096
01084,01113
01084,01272
01084,01457
01085,01356
01085,01359
01085,01235
01085,01443
01085,01052
01085,01393
01085,01328
01087,01152
01087,01298
01087,01357
01087,01204
01087,01204
01087,01300
01087,01274
01087,01269
01087,01011
01087,01283
01088,01099
01088,01047
01088,01361
01088,01290
01088,01244
01089,01007
01089,01004
01089,01345
01089,01213
01089,01379
01089,01449
01089,01314
01090,01145
01090,01449
01090,01074
01090,01381
01091,01257
01091,01114
01091,01205
01091,01033
01091,01448
01091,01187
01091,01176
01091,01204
01091,01204
01091,01357
01092,01449
01092,01379
01092,01450
01092,01129
01092,01074
01093,01272
01093,01328
01093,01393
01093,01319
01093,01028
01093,01001
01093,01412
01094,01437
01094,01388
01094,01406
01094,01364
01094,01352
01094,01337
01094,01016
01095,01309
01095,39485
01095,01172
01095,01125
01095,01408
01095,01426
01095,01426
01095,01137
01095,39069
01095,39485
01095,39353
01095,39566
01095,39018
01095,39018
01095,01125
01095,01408
01095,01426
01095,01426
01095,01137
01095,39069
01095,01309
01096,01429
01096,01264
01096,01113
01096,01084
01096,01457
01096,01246
01097,01453
01097,01138
01097,01039
01097,01415
01097,01442
01097,01036
01098,01073
01098,01234
01098,01227
01098,01227
01098,01034
01098,01009
01098,01316
01098,01141
01098,01141
01098,01073
01098,01234
01098,01227
01098,01227
01098,01034
01098,01009
01098,01116
01098,01100
01098,01452
01099,01379
01099,01213
01099,01202
01099,01366
01099,01390
01099,01047
01099,01088
01099,01244
01099,01450
01100,01452
01100,01316
01100,01098
01100,01116
01100,01190
01100,01280
01100,01066
01100,01329
01101,01060
01101,01441
01101,01112
01101,01228
01101,01373
01102,01352
01102,01050
01102,01144
01102,01025
01102,01025
01102,01231
01102,01284
01102,01057
01102,01175
01103,01399
01103,01313
01103,01354
01103,01135
01103,01153
01104,39046
01104,01210
01104,01419
01104,01360
01104,01288
01104,01158
01104,01114
01104,01257
01104,01081
01104,39413
01105,01362
01105,01261
01105,01333
01105,01248
01105,69284
01105,69278
01105,01238
01105,01285
01105,01322
01106,01125
01106,01051
01106,01184
01106,01177
01107,01384
01107,01111
01107,01411
01107,01421
01108,39378
01108,39484
01108,39509
01108,39209
01108,39209
01108,01391
01108,01445
01108,01296
01108,01147
01108,39135
01109,01158
01109,01308
01109,74314
01109,74074
01109,01209
01109,01033
01109,01205
01109,01033
01109,01114
01110,01015
01110,01015
01110,01340
01110,01117
01110,01006
01110,01358
01111,01013
01111,01280
01111,01037
01111,01411
01111,01107
01111,01384
01112,01101
01112,01441
01112,01228
01113,01264
01113,01336
01113,01335
01113,01328
01113,01272
01113,01084
01113,01096
01114,01104
01114,01158
01114,01109
01114,01205
01114,01033
01114,01091
01114,01257
01115,01346
01115,01140
01115,01301
01115,01246
01115,01355
01116,01316
01116,01098
01116,01009
01116,01358
01116,01190
01116,01100
01117,01110
01117,01015
01117,01340
01117,01338
01117,01338
01117,01182
01117,01216
01117,01006
01118,74029
01118,74269
01118,01407
01118,01010
01118,01453
01118,01218
01118,01059
01118,01409
01118,01187
01118,01082
01119,01060
01119,01080
01119,01012
01119,01191
01119,01206
01119,01282
01119,01441
01120,01045
01120,01260
01120,01342
01120,01333
01120,01371
01121,01191
01121,01012
01121,01277
01121,01056
01121,01068
01122,01221
01122,01414
01122,01036
01122,01417
01122,01185
01123,01179
01123,01136
01123,01042
01123,01167
01123,71150
01123,71556
01124,71558
01124,01029
01124,01296
01124,01163
01124,01212
01124,01380
01125,39018
01125,39018
01125,39530
01125,39530
01125,01240
01125,01051
01125,01106
01125,01177
01125,01408
01125,01095
01125,01095
01125,01172
01127,39485
01127,39069
01127,01312
01127,01137
01127,01426
01127,01426
01127,01350
01127,01445
01127,01432
01127,01391
01128,01139
01128,01380
01128,01230
01128,01388
01128,01433
01129,01092
01129,01450
01129,01325
01129,01434
01129,01074
01130,01232
01130,01024
01130,01375
01130,01229
01130,01163
01130,01154
01130,01232
01130,01024
01130,01375
01130,01229
01133,01208
01133,73073
01133,73149
01133,01239
01133,01227
01133,01341
01133,01302
01134,01332
01134,01365
01134,01306
01134,01179
01134,01370
01134,01320
01135,01247
01135,01153
01135,01103
